W / cm-1,R Gamma,R Delta,W / cm-1,Eps KKG Gamma Real,Eps KKG Gamma Imag,Eps KKG Delta Real,Eps KKG Delta Imag,W / cm-1,Eps Fit Gamma Real,Eps Fit Gamma Imag,Eps Fit Delta Real,Eps Fit Delta Imag
362.5978,0.0861,0.07306,364.526,6.24085,7.57002,5.87227,7.6232,274.1371,9.25542,5.46644,9.78951,5.37839
364.5265,0.08611,0.07358,366.455,6.1804,7.62792,5.62748,7.593,276.1381,9.238,5.53462,9.7912,5.48478
366.4552,0.08641,0.07287,368.384,6.05691,7.67159,5.47273,7.39798,278.1391,9.21851,5.60411,9.78668,5.59674
368.3839,0.08645,0.07115,370.313,5.91707,7.6334,5.46798,7.27268,280.1401,9.19683,5.6748,9.77467,5.71349
370.3126,0.08581,0.07022,372.241,5.83063,7.56828,5.45921,7.28999,282.1411,9.17283,5.7466,9.754,5.83377
372.2413,0.08508,0.07033,374.17,5.76765,7.55897,5.3548,7.28352,284.1421,9.1464,5.81938,9.72378,5.9559
374.17,0.08486,0.07008,376.099,5.66277,7.54959,5.2474,7.18311,286.1431,9.11741,5.89302,9.68367,6.07774
376.0987,0.08455,0.06913,378.027,5.56451,7.45483,5.19656,7.08521,288.1441,9.08578,5.96737,9.63406,6.19693
378.0274,0.08355,0.0683,379.956,5.55042,7.37118,5.16585,7.00272,290.1451,9.05139,6.04228,9.57632,6.31112
379.9561,0.08282,0.06762,381.885,5.52682,7.43217,5.16527,6.90482,292.1461,9.01417,6.11761,9.51286,6.41846
381.8849,0.08328,0.06688,383.814,5.38414,7.44094,5.18421,6.89713,294.1471,8.97403,6.19317,9.44703,6.51803
383.8136,0.08306,0.06686,385.742,5.265,7.29385,5.11732,6.92635,296.1481,8.93091,6.26879,9.38279,6.61039
385.7423,0.08157,0.06695,387.671,5.25581,7.18768,5.00833,6.80787,298.1491,8.88475,6.34428,9.32414,6.69795
387.671,0.08064,0.06584,389.6,5.25861,7.15556,5.0149,6.62716,300.1501,8.83551,6.41947,9.27445,6.78514
389.5997,0.08037,0.06447,391.528,5.22586,7.13318,5.10478,6.57504,302.1511,8.78316,6.49414,9.23556,6.87844
391.5284,0.08011,0.06426,393.457,5.17452,7.09204,5.14174,6.58824,304.1521,8.7277,6.5681,9.20687,6.98623
393.4571,0.07965,0.06444,395.386,5.13203,7.01902,5.1483,6.53604,306.1531,8.6691,6.64114,9.18409,7.1183
395.3858,0.07893,0.06406,397.315,5.12595,6.93426,5.21121,6.50393,308.1541,8.60741,6.71305,9.15758,7.28496
397.3145,0.07818,0.06396,399.243,5.15653,6.8784,5.26722,6.58698,310.1551,8.54263,6.78362,9.11006,7.49463
399.2433,0.07776,0.06471,401.172,5.18564,6.87915,5.20238,6.69823,312.1561,8.47483,6.85264,9.01475,7.74868
401.172,0.07783,0.0654,403.101,5.17739,6.8916,5.05487,6.66759,314.1571,8.40405,6.91991,8.83707,8.03181
403.1007,0.07792,0.06486,405.029,5.14841,6.88159,4.98695,6.50413,316.1581,8.33039,6.98521,8.54699,8.30096
405.0294,0.07777,0.06347,406.958,5.12108,6.86078,5.0505,6.38153,318.1591,8.25394,7.04833,8.14583,8.48669
406.9581,0.07753,0.06267,408.887,5.10146,6.82889,5.15408,6.37137,320.1601,8.1748,7.10909,7.68938,8.52538
408.8868,0.07721,0.06283,410.815,5.08838,6.80695,5.19838,6.44265,322.1611,8.09311,7.16728,7.26916,8.40747
410.8155,0.07699,0.06347,412.744,5.06741,6.78123,5.15202,6.48331,324.1621,8.00901,7.22272,6.95546,8.186
412.7442,0.07672,0.06367,414.673,5.05918,6.72281,5.1007,6.41403,326.1631,7.92265,7.27524,6.76405,7.93405
414.673,0.07619,0.06303,416.602,5.08858,6.68105,5.12593,6.33902,328.1641,7.83422,7.32467,6.67101,7.70408
416.6017,0.07589,0.06252,418.53,5.12249,6.68597,5.18276,6.31851,330.1651,7.74388,7.37084,6.64164,7.51941
418.5304,0.07601,0.0625,420.459,5.12514,6.70477,5.23875,6.29755,332.1661,7.65186,7.41363,6.64679,7.38385
420.4591,0.07618,0.06248,422.388,5.10605,6.69827,5.30849,6.32251,334.1671,7.55834,7.4529,6.66655,7.29233
422.3878,0.07608,0.06284,424.317,5.09843,6.66475,5.34006,6.39278,336.1681,7.46357,7.48853,6.68856,7.23715
424.3165,0.07577,0.06344,426.245,5.11147,6.63952,5.32786,6.41171,338.1691,7.36777,7.52044,6.70558,7.21065
426.2452,0.07558,0.06355,428.174,5.12395,6.62129,5.33505,6.41067,340.1701,7.27118,7.54853,6.71348,7.20617
428.1739,0.07545,0.06356,430.103,5.14399,6.57214,5.35413,6.42052,342.1711,7.17405,7.57274,6.71004,7.21808
430.1026,0.07507,0.06368,432.031,5.22403,6.50069,5.38019,6.40758,344.1721,7.07664,7.59302,6.69413,7.24166
432.0314,0.07465,0.06365,433.96,5.37457,6.51399,5.43465,6.40919,346.1731,6.97921,7.60936,6.66536,7.27291
433.9601,0.07516,0.0638,435.889,5.49073,6.6734,5.51076,6.41366,348.1741,6.88202,7.62173,6.62386,7.30837
435.8888,0.07682,0.06403,437.817,5.47262,6.83581,5.6405,6.43915,350.1751,6.78533,7.63015,6.57013,7.34501
437.8175,0.07814,0.06456,439.746,5.4017,6.87786,5.77954,6.64015,352.1761,6.68942,7.63465,6.50502,7.38017
439.7462,0.07832,0.06637,441.675,5.38695,6.88209,5.76042,6.90241,354.1771,6.59455,7.63529,6.42966,7.41152
441.6749,0.07832,0.06819,443.604,5.41187,6.91862,5.6184,7.03547,356.1781,6.50097,7.63212,6.34549,7.43706
443.6036,0.07869,0.06881,445.532,5.43418,6.9855,5.48995,7.08252,358.1791,6.40895,7.62524,6.25414,7.45517
445.5323,0.07931,0.06887,447.461,5.43255,7.0746,5.39084,7.09305,360.1801,6.31875,7.61476,6.15747,7.46459
447.4611,0.08006,0.06874,449.39,5.39387,7.15684,5.32455,7.05725,362.1811,6.2306,7.6008,6.05743,7.46446
449.3898,0.08067,0.06834,451.318,5.33851,7.18974,5.32857,6.99836,364.1821,6.14474,7.58351,5.95603,7.45435
451.3185,0.08083,0.06791,453.247,5.32582,7.16945,5.39797,7.00722,366.1831,6.0614,7.56306,5.85526,7.43421
453.2472,0.08063,0.06812,455.176,5.38571,7.18486,5.45477,7.10358,368.1841,5.9808,7.53962,5.75699,7.40439
455.1759,0.08089,0.06895,457.105,5.45172,7.305,5.45394,7.20847,370.1851,5.90313,7.51339,5.66292,7.36557
457.1046,0.08205,0.06972,459.033,5.44055,7.46416,5.42719,7.28899,372.1861,5.82859,7.48458,5.57451,7.31868
459.0333,0.08337,0.07026,460.962,5.37085,7.56775,5.40688,7.3526,374.1871,5.75735,7.45342,5.49294,7.26491
460.962,0.08411,0.07069,462.891,5.30997,7.62909,5.40506,7.42486,376.1881,5.68957,7.42014,5.41912,7.20552
462.8907,0.08452,0.07122,464.82,5.27165,7.68972,5.39444,7.5466,378.1891,5.62539,7.38499,5.35366,7.1419
464.8195,0.08497,0.0721,466.748,5.24412,7.75712,5.33358,7.67147,380.1901,5.56493,7.34823,5.29689,7.0754
466.7482,0.0855,0.07292,468.677,5.21798,7.84268,5.23784,7.75625,382.1911,5.50831,7.31014,5.24889,7.00733
468.6769,0.08619,0.0734,470.606,5.17867,7.9407,5.15639,7.78025,384.1921,5.45561,7.27099,5.20955,6.93892
